name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHORT RIB TACOS,18.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
FISH TACOS,19.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
HONEY CHIPOTLE CHICKEN WINGS,15.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
MINI MEATBALLS,14.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
PORK BELLY AND WATERMELON SALAD,18.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
MIXED OLIVES,4.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
FRICKLES,9.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
POLENTA FRIES,8.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
ARANCINI RICE BALLS,12.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED MOZZARELLA,10.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
DATES,12.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
MIXED GREEN SALAD WITH BURRATA,17.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
COBB SALAD,16.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
WHOLE BIRD CHICKEN FRIED,35.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED OCTOPUS,25.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
GARLIC SHRIMP,17.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
PAN-SEARED WILD SALMON,28.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
PAN SEARED SEA SCALLOPS,29.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
HALLOUMI AND GRILLED VEGETABLE SANDWICH,18.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
SMOKED CHICKEN PARM,25.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN MILANESE,25.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
SKIRT STEAK,29.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
PULLED PORK ON A ROLL,20.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
BRUSSEL SPROUTS,9.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
CAULIFLOWER,9.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRIES,5.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
MASHED YUKON GOLD POTATOES,7.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
MIXED GREEN SALAD,6.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
BROCCOLI,7.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED TOAST,2.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
HALLOUMI,8.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUCES AND CONDIMENTS,1.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
BEVERAGE,3.0,,POMEROY'S,"UBEREATS, PHOENIX, AZ",,,,,,,
