name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MAC 'N CHEESE,10.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"CHICKEN, BROCCOLI & CHEESE SAUCE",13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC CAESAR,9.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PIZZA COOKIE,8.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
STRAWBERRY-BASIL LEMONADE,4.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
FOUNTAIN BEVERAGE,3.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
ICED TEA,3.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
BOTTLED WATER,3.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SPARKLING WATER - PELLEGRINO,3.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE SKEWERS (2) (GF),3.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PORTOBELLO & ARTICHOKE BRUSCHETTA,8.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE BRUSCHETTA,8.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SEASONAL SALAD - WATERMELON & ARUGULA (GF),11.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
MIXED GREEN,8.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CLASSIC CAESAR WITH CHICKEN,12.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
ROASTED VEGETABLE (GF),11.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGETABLE (GF),11.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE,11.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"QUINOA, BEET & ARUGULA (GF)",11.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
ITALIAN CHOPPED (GF),14.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN & PINE NUTS (GF),12.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SALMON & KALE,15.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"CHICKEN, SPINACH & APPLE (GF)",12.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
TURKEY & FETA (GF),12.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
BUILD YOUR OWN PIZZA,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"MOZZARELLA, FONTINA & BASIL",12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE & CARAMELIZED ONION,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI & CRIMINI MUSHROOM,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PROSCIUTTO & FIG,17.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
LASAGNA PIE,15.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SUPREMA,15.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
THE PIG,17.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CAESAR & PARMESAN,14.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN PESTO,14.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY CHICKEN SAUSAGE,14.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
ROSEMARY POTATO,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PORTOBELLO & ARTICHOKE,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
WILD MUSHROOM,14.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"PASTA, RED SAUCE & MOZZARELLA",10.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PASTA & MEATBALLS,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY CHICKEN SAUSAGE & CHEESE SAUCE,13.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
BAKED BEEF LASAGNA,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
PESTO CHICKEN & SMOKED MOZZARELLA,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
TURKEY & HAVARTI PANINI,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
MEATBALLS & MOZZARELLA,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
THE ITALIAN,12.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED CHEESE,9.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE-MADE SOUPS,3.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE MAC 'N CHEESE,6.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE PASTA & MEATBALL,7.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE SPICY CHICKEN SAUSAGE & CHEESE SAUCE,7.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"SIDE PASTA, RED SAUCE & MOZZARELLA",6.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"SIDE CHICKEN, BROCCOLI & CHEESE SAUCE",7.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE OF PULLED CHICKEN,2.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE OF AVOCADO,1.0,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE OF RANCH DRESSING,0.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE OF GREEN CHILE PESTO RANCH,0.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
WARM ROLL & BUTTER,0.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
KIDS PIZZA,6.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
KIDS MAC 'N CHEESE,6.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
"KIDS PASTA, RED SAUCE & MOZZARELLA",6.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
KIDS GRILLED CHEESE,6.75,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
TRIPLE CHOCOLATE CHUNK COOKIE,2.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
TIRAMISU,8.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
GELATO SCOOP,4.25,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
SEASON CANNOLI,3.5,,SAUCE PIZZA & WINE (25 E CAMELBACK),"UBEREATS, PHOENIX, AZ",,,,,,,
