name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BLUEBERRY LEMON,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
BIRTHDAY CAKE,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
BUBBLEGUM,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
BUTTER PECAN,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
CHERRY CHIP SORBET,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE CHIP COOKIE DOUGH,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE OVERLOAD,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
COOKIE MONSTER,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
COOKIES N CREAM,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
FRECKLES,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGAN COCONUT,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
LAVEEN CONCRETE MIX,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
MANGO WATERMELON SORBET,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
MINT CHIP,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
OATMEAL COOKIE,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
PLAYDOUGH,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
PISTACHIO,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
REESE PEANUT BUTTER CUP,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
ROCKY ROAD,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
TARO,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
UNICORN POOP,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
VANILLA,2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
"COFFEE - COFFEE BASE WITH CARAMEL, DARK CHOCOLATE SHAVINGS AND ALMONDS",2.09,,SCOOPTACULAR,"UBEREATS, PHOENIX, AZ",,,,,,,
