name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CLUBHOUSE SANDWICH,14.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN IN THE BASKET,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SOUTHWEST SALAD,14.5,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
COBB CLASSIC,16.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED SALMON SALAD,17.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
HOLE IN ONE NACHOS,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
‘GIMME’ SLIDERS,14.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE QUESADILLA,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
HOT WINGS,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
GUAC AND CHIPS,11.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
ADOBERGER,16.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
ON THE GREEN BURGER,16.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
TURKEY MUSHROOM BURGER,15.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
B.L.TEE,14.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
ORIGINAL MELT,15.5,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRIES,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
GARDEN SALAD,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
ADOBE POTATOES,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
O-RINGS,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
COTTAGE CHEESE,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SLICED TOMATOES,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
MIXED FRESH FRUIT,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET POTATO FRIES,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
BLACK BEANS,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
HASHBROWN PATTIES,5.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET SPOT CAESAR,12.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
FAMOUS BALTIMORE DOG,10.5,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
DOUBLE EAGLE,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
PERFECT PROTEIN OMELET,15.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
AVOCADO TOAST,15.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
COUNTRY CLUB SCRAMBLE,14.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
EGGS BENNY,16.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
GRANOLA FRUIT AND YOGURT,10.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SIGNATURE CEREAL,11.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
PEACHES AND CREAM OATMEAL,9.5,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
SPANISH OMELET,13.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
STREET CORN HASH,14.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
CHIP S’HOT CAKES,12.5,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
BIG AZ BURRITO,15.0,,THE ADOBE RESTAURANT,"UBEREATS, PHOENIX, AZ",,,,,,,
