name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CREAM CHEESE WANTON (6 PCS),7.0,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE SPRING ROLL (2 ROLLS),4.8,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
SESAME CHICKEN,12.1,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
POT STICKER (8 PCS),8.15,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
GENERAL TSO CHICKEN,12.1,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
LETTUCE WRAP,8.7,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
ROTI PRATA (2 BREADS),7.0,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
VIETNAMESE ROLL (2 ROLLS),6.0,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
GOLDEN SHRIMP (12 PCS),8.2,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED BEAN CURD (4 PCS),4.8,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
FRENCH FRIES,5.35,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED ENOKI,7.6,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
HAKKA TOFU,7.0,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
EDAMAME,4.25,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
SATAY TOFU,7.6,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
FRIED WONTON (6 PCS),7.0,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
SOY CHICKEN NUGGETS (10 PCS),5.35,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
HOT & SOUR SOUP,5.35,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
WONTON SOUP,12.65,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
MISO SOUP,4.8,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
RAINBOW SALAD,9.8,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
RAINBOW SALAD WITH CRISPY SOY CHICKEN,12.9,,VEGGIE VILLAGE,"UBEREATS, PHOENIX, AZ",,,,,,,
