name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MAYBELLINE INSTANT AGE REWIND DARK CIRCLES TREATMENT CONCEALER - 0.2 FL OZ,10.48,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
WONDERFUL NO SHELL PISTACHIOS ROASTED & SALTED - 6.0 OZ,8.91,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
VICKS VAPORUB COUGH SUPPRESSANT TOPICAL ANALGESIC OINTMENT ORIGINAL - 6.0 OZ,12.06,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
HUGGIES PULL-UPS BOYS' NIGHT-TIME POTTY TRAINING PANTS - 18.0 EA,13.63,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PLAN B ONE-STEP EMERGENCY CONTRACEPTIVE - 1.0 EA,52.48,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
A&W ROOT BEER SODA - 2.0 L,2.08,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SUNKIST SODA ORANGE - 2.0 L,2.08,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SCHWEPPES SODA GINGER ALE - 67.6 OZ,1.56,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COCA-COLA SODA - 16.0 OZ X 6 PACK,4.5,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPSI SODA WILD CHERRY - 2.0 L,1.56,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE SODA LEMON LIME - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COCA-COLA CLASSIC SODA - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPSI SODA - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET MOUNTAIN DEW SODA - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
A&W SODA ROOT BEER - 20.0 OZ,2.08,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET DR. PEPPER SODA - 20.0 OZ,2.08,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE SODA - 16.9 OZ X 6 PACK,4.5,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE SODA LEMON-LIME - 16.9 OZ X 6 PACK,4.5,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COCA-COLA SODA - 16.9 OZ X 6 PACK,4.5,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SQUIRT SODA CITRUS - 20.0 OZ,2.08,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"COCA-COLA SODA, CHERRY - 20.0 OZ",2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MOUNTAIN DEW CODE RED SODA - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FANTA SODA ORANGE - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"COCA-COLA SODA, FRIDGE PACK - 12.0 OZ X 12 PACK",6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE SODA - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"DIET COKE CAFFEINE FREE SODA, FRIDGE PACK - 12.0 OZ X 12 PACK",6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"COCA-COLA SODA, VANILLA - 20.0 OZ",2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"CANADA DRY SODA GINGER ALE, 12 PACK - 12.0 OZ X 12 PACK",6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COCA-COLA SODA CHERRY CHERRY - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DR. PEPPER SODA - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET DR. PEPPER SODA - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
7-UP SODA LEMON-LIME - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
7-UP SODA LEMON LIME - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SUNKIST SODA ORANGE - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
CANADA DRY DIET SODA GINGER ALE - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
A&W SODA ROOT BEER - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPSI SODA - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
MOUNTAIN DEW SODA - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPSI SODA WILD CHERRY - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE SODA LEMON-LIME - 12.0 OZ X 12 PACK,6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"SPRITE SODA, ZERO SUGAR, LEMON-LIME LEMON LIME - 20.0 OZ",2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
COCA-COLA ZERO SUGAR ZERO CALORIE COLA - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
"COCA-COLA ZERO SUGAR, FRIDGE PACK COLA - 12.0 EA",6.49,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
FANTA SODA PINEAPPLE - 20.0 OZ,2.29,,WALGREENS (705 E MCDOWELL RD),"UBEREATS, PHOENIX, AZ",,,,,,,
