name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP FRIED RICE,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
JUMBO SHRIMP FRIED RICE,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN WITH ORANGE PEEL,10.29,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
PEKING DUCK,21.85,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SINGAPORE RICE VERMICELLI NOODLE DISH,8.63,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SCALLION PANCAKE,4.03,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SPRING ROLLS,4.03,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CANTONESE EGG ROLLS (2),3.74,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CRAB RANGOON,6.61,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
POT STICKERS,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BEEF KABOB,6.61,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN KABOB,6.61,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SZECHWAN WONTON,5.18,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SZECHWAN CUCUMBER SALAD,6.04,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BARBECUED PORK,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BARBECUED RIBS,7.48,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
TRADITIONAL WINGS (4),6.33,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BUFFALO WINGS,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
HONEY GLAZED WINGS,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
FRIED WONTON,4.03,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
EDAMAME,4.6,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SHRIMP TEMPURA,8.63,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN GYOZA (8),8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SESAME BALL (RED BEAN FILLING),5.7,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
HOT & SOUR SOUP,3.45,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
MISO SOUP,3.45,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
WON TON SOUP,3.45,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
EGG DROP SOUP,3.45,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
VEGETARIAN SOUP,3.45,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SEAWEED SHRIMP,4.31,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SEAFOOD COMBO SOUP WITH TOFU,9.78,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
VELVET CHICKEN CORN SOUP,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SIZZLING RICE SOUP WITH CHICKEN,6.9,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SIZZLING RICE SOUP WITH SHRIMP,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN RICE SOUP,5.18,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN NOODLE SOUP,5.18,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BIG BOWL NOODLE SOUP,9.78,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BIG BOWL SEAFOOD NOODLE SOUP,10.93,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN EGG FOO YOUNG,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BEEF EGG FOO YOUNG,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
BBQ PORK EGG FOO YOUNG,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
VEGETABLES EGG FOO YOUNG,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
SHRIMP EGG FOO YOUNG,9.2,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN CHOP SUEY,8.05,,DE RICE (920 E 47TH ST),"UBEREATS, CHICAGO, IL",,,,,,,
