name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CANTONESE PAN-FRIED NOODLES,14.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SHIITAKE MUSHROOM WITH PEAPOD SPROUT,17.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
HUNAN SCALLOPS,16.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
XO SAUCE WITH TRIPLE DELIGHTS,16.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
KUNG PO SHRIMP,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
EMPEROR'S EGG ROLLS,5.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
EMPRESS' SPRING ROLLS,5.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CRAB RANGOON,7.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
POT STICKERS,7.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CANTONESE BUTTERFLY FRIED SHRIMP,10.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SEAWEED SALAD,7.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SHRIMP ROLLS,7.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
BAR-B-Q BABY BACK RIBS,12.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
BAR-B-Q PORK,8.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CRISPY TOFU,8.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
EDAMAME,4.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CRISPY GREEN BEANS,8.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SPICY KIMCHI VEGETABLES,5.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SALT & PEPPER CALAMARI,10.95,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
STEAMED VEGETABLE DUMPLINGS,8.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN TENDERS,7.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN DUMPLINGS,4.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
WONTON SOUP,3.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
HOT & SOUR SOUP,3.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN NOODLE SOUP,4.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CHINESE VEGETABLE SOUP,3.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
EGG DROP SOUP,3.0,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
MONGOLIAN BEEF,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
BASIL BEEF,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
CRISPY SHREDDED BEEF,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
HUNAN BEEF,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
SATAY BEEF WITH PINEAPPLE,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
BEEF WITH CHINESE VEGETABLE,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
PEPPER STEAK WITH TOMATO,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
KUNG PO BEEF,15.5,,EMPEROR'S CHOICE,"UBEREATS, CHICAGO, IL",,,,,,,
