name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TACO DINNER,10.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
STEAK TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
STEAK BURRITO,9.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
QUESADILLA WITH MEAT,4.95,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
QUESA BIRRIA,13.99,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
FAMILY PACK - TACO TRAY (20 TACOS) WITH ONIONS AND CILANTRO,49.99,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
STEAK TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
FLANK STEAK TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
PORK AND ONIONS TACO CHEESE AND SOUR CREAM IS EXTRA COST UNDER SIDE ORDERS,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
FISH TACO,4.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TONGUE TACO,3.75,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
STEAMED BEEF TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
DRIED BEEF TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TRIPA TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
MEXICAN SAUSAGE TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
VEGETARIAN TACO,3.25,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
RANCHEROS,4.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TACO DINNER LENGUA,12.0,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TACOS EN TORTILLA DE HARINA O GRANDES,3.99,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TACO ARRIERO,4.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TRAY OF TACOS-CHAROLA DE TACOS,49.99,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
VEGETARIAN TACO DINNER,9.35,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TACO DE CABEZA,4.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TACO GOBERNADOR,4.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
HAM TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
PORK TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
BREADED STEAK TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
MEXICAN SAUSAGE TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TONGUE TORTA,8.0,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN BREAST TORTA,7.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
VEGETARIAN TORTA,6.9,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TORTA DINNER,9.2,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
CHICKEN TORTA DINNER,10.0,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TONGUE TORTA DINNER,11.5,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
TONGUE HUARACHES,7.3,,TAQUERIA LOS COMALES (18TH ST & ASHLAND),"UBEREATS, CHICAGO, IL",,,,,,,
